chl,tp
0.45,0.079
9.6,0.097
3.5,0.154
4,0.36
3.9,0.214
5.6,0.253
11.5,0.091
18.3,0.168
16.1,0.127
56.8,0.117
28.5,0.069
2.1,0.058
11.7,0.051
11.41,0.03495
32.6,0.0544
29.53,0.0539
2.7,0.148
2.2,0.185
1.4,0.229
2.7,0.218
1.8,0.035
83,0.18
62.2,0.156
27.6,0.223
13.5,0.094
1.9,0.036
13.1,0.05
2.9,0.13
11.9,0.044
3.3,0.036
4,0.035
0.2,0.026
1.6,0.023
9.9,0.062
25.6,0.05
8.2,0.03
5.5,0.026
1.2,0.019
5.4,0.024
15.1,0.113
11.7,0.048
5.3,0.016
11.33,0.0112
15.1,0.0745
32.09,0.0292
2.8,0.03
15.2,0.137
4.2,0.046
2.2,0.014
6.5,0.058
2.7,0.017
1.3,0.021
1.8,0.047
2,0.067
3.6,0.094
12,0.08
2.7,0.027